time,r,y
0.593,4.78811,4.7884
0.594,4.78356,4.78381
0.595,4.77897,4.77918
0.596,4.77432,4.77449
0.597,4.76963,4.76977
0.598,4.7649,4.76499
0.599,4.76011,4.76017
0.6,4.75528,4.7553
0.601,4.75041,4.75038
0.602,4.74548,4.74542
0.603,4.74051,4.74041
0.604,4.73549,4.73535
0.605,4.73043,4.73025
0.606,4.72532,4.7251
0.607,4.72016,4.7199
0.608,4.71495,4.71466
0.609,4.7097,4.70937
0.61,4.7044,4.70403
0.611,4.69906,4.69865
0.612,4.69367,4.69322
0.613,4.68823,4.68774
0.614,4.68275,4.68222
0.615,4.67722,4.67665
0.616,4.67164,4.67104
0.617,4.66602,4.66538
0.618,4.66036,4.65967
0.619,4.65464,4.65392
0.62,4.64888,4.64812
0.621,4.64308,4.64227
0.622,4.63723,4.63638
0.623,4.63133,4.63045
0.624,4.62539,4.62447
0.625,4.6194,4.61844
0.626,4.61336,4.61237
0.627,4.60728,4.60625
0.628,4.60116,4.60008
0.629,4.59499,4.59387
0.63,4.58877,4.58762
0.631,4.58251,4.58132
0.632,4.57621,4.57497
0.633,4.56985,4.56858
0.634,4.56346,4.56215
0.635,4.55702,4.55567
0.636,4.55053,4.54914
0.637,4.544,4.54257
0.638,4.53742,4.53596
0.639,4.5308,4.5293
0.64,4.52414,4.52259
0.641,4.51742,4.51584
0.642,4.51067,4.50905
0.643,4.50387,4.50221
0.644,4.49703,4.49533
0.645,4.49014,4.4884
0.646,4.48321,4.48143
0.647,4.47623,4.47441
0.648,4.46921,4.46735
0.649,4.46214,4.46025
0.65,4.45503,4.4531
0.651,4.44788,4.44591
0.652,4.44068,4.43867
0.653,4.43344,4.43139
0.654,4.42616,4.42407
0.655,4.41883,4.4167
0.656,4.41146,4.40929
0.657,4.40404,4.40184
0.658,4.39658,4.39434
0.659,4.38908,4.3868
0.66,4.38153,4.37921
0.661,4.37394,4.37159
0.662,4.36631,4.36392
0.663,4.35864,4.3562
0.664,4.35092,4.34845
0.665,4.34316,4.34065
0.666,4.33535,4.3328
0.667,4.32751,4.32492
0.668,4.31962,4.31699
0.669,4.31168,4.30902
0.67,4.30371,4.30101
0.671,4.29569,4.29295
0.672,4.28763,4.28485
0.673,4.27953,4.27671
0.674,4.27139,4.26853
0.675,4.2632,4.2603
0.676,4.25497,4.25204
0.677,4.2467,4.24373
0.678,4.23839,4.23538
0.679,4.23004,4.22699
0.68,4.22164,4.21855
0.681,4.2132,4.21008
0.682,4.20472,4.20156
0.683,4.1962,4.193
0.684,4.18764,4.1844
0.685,4.17904,4.17576
0.686,4.17039,4.16708
0.687,4.16171,4.15835
0.688,4.15298,4.14959
0.689,4.14421,4.14078
0.69,4.1354,4.13193
0.691,4.12655,4.12305
0.692,4.11766,4.11412
0.693,4.10873,4.10515
0.694,4.09976,4.09614
